,date,instrument,action,price,volume
0,2009-07-16 00:00:00,rb,BUY,4033.0,246
1,2009-07-17 00:00:00,rb,SELL,4013.0,246
2,2009-07-24 00:00:00,rb,BUY,4193.0,236
3,2009-08-07 00:00:00,rb,SELL,4673.0,236
4,2009-09-24 00:00:00,rb,SELL_SHORT,3828.0,134
5,2009-09-28 00:00:00,rb,SELL_SHORT,3656.0,132
6,2009-09-29 00:00:00,rb,BUY_TO_COVER,3720.0,266
7,2009-10-12 00:00:00,rb,SELL_SHORT,3670.0,131
8,2009-10-15 00:00:00,rb,BUY_TO_COVER,3756.0,131
9,2009-11-24 00:00:00,rb,BUY,4216.0,159
10,2009-11-27 00:00:00,rb,SELL,4155.0,159
11,2009-12-11 00:00:00,rb,BUY,4296.0,160
12,2009-12-30 00:00:00,rb,SELL,4425.0,160
13,2010-01-04 00:00:00,rb,BUY,4533.0,188
14,2010-01-07 00:00:00,rb,SELL,4473.0,188
15,2010-03-16 00:00:00,rb,BUY,4701.0,181
16,2010-03-30 00:00:00,rb,SELL,4717.0,181
17,2010-04-07 00:00:00,rb,BUY,4806.0,213
18,2010-04-08 00:00:00,rb,SELL,4784.0,213
19,2010-04-09 00:00:00,rb,BUY,4836.0,215
20,2010-04-15 00:00:00,rb,SELL,4798.0,215
21,2010-05-17 00:00:00,rb,SELL_SHORT,4200.0,175
22,2010-05-19 00:00:00,rb,BUY_TO_COVER,4241.0,175
23,2010-06-07 00:00:00,rb,SELL_SHORT,4039.0,164
24,2010-06-08 00:00:00,rb,BUY_TO_COVER,4074.0,164
25,2010-06-29 00:00:00,rb,SELL_SHORT,3983.0,187
26,2010-07-01 00:00:00,rb,SELL_SHORT,3972.0,196
27,2010-07-05 00:00:00,rb,BUY_TO_COVER,4002.0,383
28,2010-08-02 00:00:00,IF,BUY,2937.9,174
29,2010-08-03 00:00:00,IF,SELL,2870.1,174
30,2010-08-09 00:00:00,rb,BUY,4351.0,206
31,2010-08-12 00:00:00,rb,SELL,4291.0,206
32,2010-08-17 00:00:00,IF,BUY,2969.4,168
33,2010-08-20 00:00:00,IF,SELL,2928.0,168
34,2010-09-02 00:00:00,rb,BUY,4395.0,224
35,2010-09-08 00:00:00,rb,SELL,4559.0,224
36,2010-10-08 00:00:00,IF,BUY,3082.8,199
37,2010-10-18 00:00:00,IF,SELL,3364.8,199
38,2010-10-19 00:00:00,IF,BUY,3391.8,174
39,2010-10-26 00:00:00,IF,SELL,3575.1,174
40,2010-11-05 00:00:00,rb,BUY,4691.0,189
41,2010-11-10 00:00:00,rb,SELL,4748.0,189
42,2010-12-30 00:00:00,IF,SELL_SHORT,3116.6,148
43,2010-12-31 00:00:00,IF,BUY_TO_COVER,3195.5,148
44,2011-01-10 00:00:00,rb,BUY,4881.0,236
45,2011-01-17 00:00:00,IF,SELL_SHORT,2987.4,162
46,2011-01-26 00:00:00,rb,SELL,5003.0,236
47,2011-01-31 00:00:00,rb,BUY,5063.0,263
48,2011-02-16 00:00:00,rb,SELL,5091.0,263
49,2011-02-17 00:00:00,IF,BUY_TO_COVER,3270.8,162
50,2011-03-07 00:00:00,IF,BUY,3344.8,180
51,2011-03-10 00:00:00,rb,SELL_SHORT,4666.0,196
52,2011-03-10 00:00:00,IF,SELL,3291.6,180
53,2011-03-14 00:00:00,rb,BUY_TO_COVER,4738.0,196
54,2011-03-22 00:00:00,rb,SELL_SHORT,4653.0,177
55,2011-03-23 00:00:00,rb,BUY_TO_COVER,4743.0,177
56,2011-04-11 00:00:00,IF,BUY,3349.6,204
57,2011-04-18 00:00:00,IF,SELL,3348.6,204
58,2011-05-05 00:00:00,IF,SELL_SHORT,3114.5,222
59,2011-05-10 00:00:00,IF,BUY_TO_COVER,3161.6,222
60,2011-05-13 00:00:00,IF,SELL_SHORT,3127.0,228
61,2011-05-23 00:00:00,IF,SELL_SHORT,3026.4,231
62,2011-05-26 00:00:00,IF,SELL_SHORT,2999.9,243
63,2011-06-02 00:00:00,IF,SELL_SHORT,2970.5,255
64,2011-06-03 00:00:00,IF,BUY_TO_COVER,2958.2,957
65,2011-06-13 00:00:00,IF,SELL_SHORT,2960.0,257
66,2011-06-14 00:00:00,IF,BUY_TO_COVER,2994.2,257
67,2011-06-17 00:00:00,rb,SELL_SHORT,4718.0,282
68,2011-06-17 00:00:00,IF,SELL_SHORT,2894.1,259
69,2011-06-20 00:00:00,rb,SELL_SHORT,4701.0,283
70,2011-06-21 00:00:00,rb,BUY_TO_COVER,4708.0,565
71,2011-06-23 00:00:00,IF,BUY_TO_COVER,2965.6,259
72,2011-08-08 00:00:00,IF,SELL_SHORT,2717.6,227
73,2011-08-09 00:00:00,rb,SELL_SHORT,4824.0,252
74,2011-08-11 00:00:00,rb,BUY_TO_COVER,4844.0,252
75,2011-08-11 00:00:00,IF,BUY_TO_COVER,2892.1,227
76,2011-09-13 00:00:00,IF,SELL_SHORT,2730.5,202
77,2011-09-19 00:00:00,rb,SELL_SHORT,4625.0,273
78,2011-09-19 00:00:00,IF,SELL_SHORT,2677.6,208
79,2011-09-20 00:00:00,IF,BUY_TO_COVER,2700.1,410
80,2011-09-22 00:00:00,rb,SELL_SHORT,4476.0,260
81,2011-09-23 00:00:00,rb,SELL_SHORT,4510.0,241
82,2011-09-23 00:00:00,IF,SELL_SHORT,2652.6,194
83,2011-09-26 00:00:00,rb,SELL_SHORT,4490.0,235
84,2011-09-26 00:00:00,IF,SELL_SHORT,2636.8,206
85,2011-09-27 00:00:00,rb,BUY_TO_COVER,4465.0,1009
86,2011-09-27 00:00:00,IF,BUY_TO_COVER,2652.1,400
87,2011-09-29 00:00:00,rb,SELL_SHORT,4320.0,200
88,2011-09-29 00:00:00,IF,SELL_SHORT,2611.8,200
89,2011-09-30 00:00:00,rb,BUY_TO_COVER,4368.0,200
90,2011-09-30 00:00:00,IF,SELL_SHORT,2600.6,203
91,2011-10-12 00:00:00,rb,SELL_SHORT,4349.0,187
92,2011-10-12 00:00:00,IF,BUY_TO_COVER,2645.8,403
93,2011-10-13 00:00:00,rb,SELL_SHORT,4299.0,189
94,2011-10-17 00:00:00,rb,SELL_SHORT,4154.0,185
