contract_name,index_name,minmum_move,contract_multiplier,margin ,flat_rule,contract_change_rule,ch_name,close_time,main_contract
KQm@CFFEXIF,KQi@CFFEXIF,0.2,300,0.1,normal,every,沪深主连,0,
KQm@CFFEXIH,KQi@CFFEXIH,0.2,300,0.1,normal,every,上证主连,0,
KQm@CFFEXIC,KQi@CFFEXIC,0.2,200,0.1,normal,every,中证主连,0,
KQm@CFFEXTF,KQi@CFFEXTF,0.005,10000,0.1,normal,every,债五主连,,
KQm@CFFEXT,KQi@CFFEXT,0.005,10000,0.1,normal,every,债十主连,,
KQm@CFFEXTS,KQi@CFFEXTS,0.005,20000,0.1,normal,every,债二主连,,
KQm@SHFEcu,KQi@SHFEcu,10.0,5,0.1,normal,every,沪铜主连,,
KQm@SHFEau,KQi@SHFEau,0.05,1000,0.1,normal,every,沪金主连,,
KQm@SHFEag,KQi@SHFEag,1.0,15,0.1,normal,every,沪银主连,,
KQm@SHFEzn,KQi@SHFEzn,5.0,5,0.1,normal,every,沪锌主连,,
KQm@SHFEal,KQi@SHFEal,5.0,5,0.1,normal,every,沪铝主连,,
KQm@SHFEru,KQi@SHFEru,5.0,10,0.1,normal,every,橡胶主连,,
KQm@SHFErb,KQi@SHFErb,1.0,10,0.1,normal,every,螺纹主连,"[23:00,15:00]",
KQm@SHFEfu,KQi@SHFEfu,1.0,10,0.1,normal,every,燃油主连,,
KQm@SHFEhc,KQi@SHFEhc,1.0,10,0.1,normal,every,热卷主连,,
KQm@SHFEbu,KQi@SHFEbu,2.0,10,0.1,normal,every,沥青主连,,
KQm@SHFEpb,KQi@SHFEpb,5.0,5,0.1,normal,every,沪铅主连,,
KQm@SHFEni,KQi@SHFEni,10.0,1,0.1,normal,every,沪镍主连,,
KQm@SHFEsn,KQi@SHFEsn,10.0,1,0.1,normal,every,沪锡主连,,
KQm@SHFEwr,KQi@SHFEwr,1.0,10,0.1,normal,every,线材主连,,
KQm@SHFEsp,KQi@SHFEsp,2.0,10,0.1,normal,every,纸浆主连,,
KQm@INEsc,KQi@INEsc,0.1,1000,0.1,normal,every,原油主连,,
KQm@DCEa,KQi@DCEa,1.0,10,0.1,normal,every,豆一主连,,
KQm@DCEb,KQi@DCEb,1.0,10,0.1,normal,every,豆二主连,,
KQm@DCEbb,KQi@DCEbb,0.05,500,0.1,normal,every,胶板主连,,
KQm@DCEc,KQi@DCEc,1.0,10,0.1,normal,every,玉米主连,,
KQm@DCEcs,KQi@DCEcs,1.0,10,0.1,normal,every,淀粉主连,,
KQm@DCEfb,KQi@DCEfb,0.05,500,0.1,normal,every,纤板主连,,
KQm@DCEi,KQi@DCEi,0.5,100,0.1,normal,every,铁矿主连,,
KQm@DCEj,KQi@DCEj,0.5,100,0.1,normal,every,焦炭主连,,
KQm@DCEjd,KQi@DCEjd,1.0,10,0.1,normal,every,鸡蛋主连,,
KQm@DCEjm,KQi@DCEjm,0.5,60,0.1,normal,every,焦煤主连,,
KQm@DCEl,KQi@DCEl,5.0,5,0.1,normal,every,塑料主连,,
KQm@DCEm,KQi@DCEm,1.0,10,0.1,normal,every,豆粕主连,,
KQm@DCEp,KQi@DCEp,2.0,10,0.1,normal,every,棕榈主连,,
KQm@DCEpp,KQi@DCEpp,1.0,5,0.1,normal,every,PP主连,,
KQm@DCEv,KQi@DCEv,5.0,5,0.1,normal,every,PVC主连,,
KQm@DCEy,KQi@DCEy,2.0,10,0.1,normal,every,豆油主连,,
KQm@DCEeg,KQi@DCEeg,1.0,10,0.1,normal,every,甘醇主连,,
KQm@CZCEWH,KQi@CZCEWH,1.0,20,0.1,normal,every,强麦主连,,
KQm@CZCEPM,KQi@CZCEPM,1.0,50,0.1,normal,every,普麦主连,,
KQm@CZCECF,KQi@CZCECF,5.0,5,0.1,normal,every,棉花主连,,
KQm@CZCECY,KQi@CZCECY,5.0,5,0.1,normal,every,棉纱主连,,
KQm@CZCESR,KQi@CZCESR,1.0,10,0.1,normal,every,白糖主连,,
KQm@CZCETA,KQi@CZCETA,2.0,5,0.1,normal,every,PTA主连,,
KQm@CZCEOI,KQi@CZCEOI,1.0,10,0.1,normal,every,菜油主连,,
KQm@CZCERI,KQi@CZCERI,1.0,20,0.1,normal,every,早稻主连,,
KQm@CZCEMA,KQi@CZCEMA,1.0,10,0.1,normal,every,甲醇主连,,
KQm@CZCEFG,KQi@CZCEFG,1.0,20,0.1,normal,every,玻璃主连,,
KQm@CZCERS,KQi@CZCERS,1.0,10,0.1,normal,every,菜籽主连,,
KQm@CZCERM,KQi@CZCERM,1.0,10,0.1,normal,every,菜粕主连,,
KQm@CZCEZC,KQi@CZCEZC,0.2,100,0.1,normal,every,郑煤主连,,
KQm@CZCEJR,KQi@CZCEJR,1.0,20,0.1,normal,every,粳稻主连,,
KQm@CZCELR,KQi@CZCELR,1.0,20,0.1,normal,every,晚稻主连,,
KQm@CZCESF,KQi@CZCESF,2.0,5,0.1,normal,every,硅铁主连,,
KQm@CZCESM,KQi@CZCESM,2.0,5,0.1,normal,every,锰硅主连,,
KQm@CZCEAP,KQi@CZCEAP,1.0,10,0.1,normal,every,苹果主连,,
KQm@CZCECJ,KQi@CZCECJ,5.0,5,0.1,normal,every,红枣主连,,
