contract_name,index_name,minmum_move,contract_multiplier,margin ,flat_rule,contract_change_rule,ch_name,close_time,main_contract
KQ.m@CFFEX.IF,KQ.i@CFFEX.IF,0.2,300,0.1,normal,every,沪深主连,0,
KQ.m@CFFEX.IH,KQ.i@CFFEX.IH,0.2,300,0.1,normal,every,上证主连,0,
KQ.m@CFFEX.IC,KQ.i@CFFEX.IC,0.2,200,0.1,normal,every,中证主连,0,
KQ.m@CFFEX.TF,KQ.i@CFFEX.TF,0.005,10000,0.1,normal,every,债五主连,,
KQ.m@CFFEX.T,KQ.i@CFFEX.T,0.005,10000,0.1,normal,every,债十主连,,
KQ.m@CFFEX.TS,KQ.i@CFFEX.TS,0.005,20000,0.1,normal,every,债二主连,,
KQ.m@SHFE.cu,KQ.i@SHFE.cu,10,5,0.1,normal,every,沪铜主连,,
KQ.m@SHFE.au,KQ.i@SHFE.au,0.05,1000,0.1,normal,every,沪金主连,,
KQ.m@SHFE.ag,KQ.i@SHFE.ag,1,15,0.1,normal,every,沪银主连,,
KQ.m@SHFE.zn,KQ.i@SHFE.zn,5,5,0.1,normal,every,沪锌主连,,
KQ.m@SHFE.al,KQ.i@SHFE.al,5,5,0.1,normal,every,沪铝主连,,
KQ.m@SHFE.ru,KQ.i@SHFE.ru,5,10,0.1,normal,every,橡胶主连,,
KQ.m@SHFE.rb,KQ.i@SHFE.rb,1,10,0.1,normal,every,螺纹主连,"[23:00,15:00]",
KQ.m@SHFE.fu,KQ.i@SHFE.fu,1,10,0.1,normal,every,燃油主连,,
KQ.m@SHFE.hc,KQ.i@SHFE.hc,1,10,0.1,normal,every,热卷主连,,
KQ.m@SHFE.bu,KQ.i@SHFE.bu,2,10,0.1,normal,every,沥青主连,,
KQ.m@SHFE.pb,KQ.i@SHFE.pb,5,5,0.1,normal,every,沪铅主连,,
KQ.m@SHFE.ni,KQ.i@SHFE.ni,10,1,0.1,normal,every,沪镍主连,,
KQ.m@SHFE.sn,KQ.i@SHFE.sn,10,1,0.1,normal,every,沪锡主连,,
KQ.m@SHFE.wr,KQ.i@SHFE.wr,1,10,0.1,normal,every,线材主连,,
KQ.m@SHFE.sp,KQ.i@SHFE.sp,2,10,0.1,normal,every,纸浆主连,,
KQ.m@INE.sc,KQ.i@INE.sc,0.1,1000,0.1,normal,every,原油主连,,
KQ.m@DCE.a,KQ.i@DCE.a,1,10,0.1,normal,every,豆一主连,,
KQ.m@DCE.b,KQ.i@DCE.b,1,10,0.1,normal,every,豆二主连,,
KQ.m@DCE.bb,KQ.i@DCE.bb,0.05,500,0.1,normal,every,胶板主连,,
KQ.m@DCE.c,KQ.i@DCE.c,1,10,0.1,normal,every,玉米主连,,
KQ.m@DCE.cs,KQ.i@DCE.cs,1,10,0.1,normal,every,淀粉主连,,
KQ.m@DCE.fb,KQ.i@DCE.fb,0.05,500,0.1,normal,every,纤板主连,,
KQ.m@DCE.i,KQ.i@DCE.i,0.5,100,0.1,normal,every,铁矿主连,,
KQ.m@DCE.j,KQ.i@DCE.j,0.5,100,0.1,normal,every,焦炭主连,,
KQ.m@DCE.jd,KQ.i@DCE.jd,1,10,0.1,normal,every,鸡蛋主连,,
KQ.m@DCE.jm,KQ.i@DCE.jm,0.5,60,0.1,normal,every,焦煤主连,,
KQ.m@DCE.l,KQ.i@DCE.l,5,5,0.1,normal,every,塑料主连,,
KQ.m@DCE.m,KQ.i@DCE.m,1,10,0.1,normal,every,豆粕主连,,
KQ.m@DCE.p,KQ.i@DCE.p,2,10,0.1,normal,every,棕榈主连,,
KQ.m@DCE.pp,KQ.i@DCE.pp,1,5,0.1,normal,every,PP主连,,
KQ.m@DCE.v,KQ.i@DCE.v,5,5,0.1,normal,every,PVC主连,,
KQ.m@DCE.y,KQ.i@DCE.y,2,10,0.1,normal,every,豆油主连,,
KQ.m@DCE.eg,KQ.i@DCE.eg,1,10,0.1,normal,every,甘醇主连,,
KQ.m@CZCE.WH,KQ.i@CZCE.WH,1,20,0.1,normal,every,强麦主连,,
KQ.m@CZCE.PM,KQ.i@CZCE.PM,1,50,0.1,normal,every,普麦主连,,
KQ.m@CZCE.CF,KQ.i@CZCE.CF,5,5,0.1,normal,every,棉花主连,,
KQ.m@CZCE.CY,KQ.i@CZCE.CY,5,5,0.1,normal,every,棉纱主连,,
KQ.m@CZCE.SR,KQ.i@CZCE.SR,1,10,0.1,normal,every,白糖主连,,
KQ.m@CZCE.TA,KQ.i@CZCE.TA,2,5,0.1,normal,every,PTA主连,,
KQ.m@CZCE.OI,KQ.i@CZCE.OI,1,10,0.1,normal,every,菜油主连,,
KQ.m@CZCE.RI,KQ.i@CZCE.RI,1,20,0.1,normal,every,早稻主连,,
KQ.m@CZCE.MA,KQ.i@CZCE.MA,1,10,0.1,normal,every,甲醇主连,,
KQ.m@CZCE.FG,KQ.i@CZCE.FG,1,20,0.1,normal,every,玻璃主连,,
KQ.m@CZCE.RS,KQ.i@CZCE.RS,1,10,0.1,normal,every,菜籽主连,,
KQ.m@CZCE.RM,KQ.i@CZCE.RM,1,10,0.1,normal,every,菜粕主连,,
KQ.m@CZCE.ZC,KQ.i@CZCE.ZC,0.2,100,0.1,normal,every,郑煤主连,,
KQ.m@CZCE.JR,KQ.i@CZCE.JR,1,20,0.1,normal,every,粳稻主连,,
KQ.m@CZCE.LR,KQ.i@CZCE.LR,1,20,0.1,normal,every,晚稻主连,,
KQ.m@CZCE.SF,KQ.i@CZCE.SF,2,5,0.1,normal,every,硅铁主连,,
KQ.m@CZCE.SM,KQ.i@CZCE.SM,2,5,0.1,normal,every,锰硅主连,,
KQ.m@CZCE.AP,KQ.i@CZCE.AP,1,10,0.1,normal,every,苹果主连,,
KQ.m@CZCE.CJ,KQ.i@CZCE.CJ,5,5,0.1,normal,every,红枣主连,,
